list_name,code,label
assistance,nour,Nourriture
assistance,outiar,Semences et outils aratoires         
assistance,arti,Articles ménagers essentiels               
assistance,fina,Financière     
assistance,kits,Kits hygiéniques
assistance,soin,Soins de médicaux
assistance,abri,Abri temporaire
assistance,empl,Emploi temporaire
assistance,autre,Autre
axe,axe1,axe de déploiement
categ_nbremanque_nourriture,rarement,Rarement (1 à 2 fois)
categ_nbremanque_nourriture,parfois,Parfois (3 à 10 fois))
categ_nbremanque_nourriture,souvent,Souvent (plus que 10 fois)
culture,cult1,Culture vivrière
culture,cult2,Culture maraîchère
culture,cult3,Culture vivrière et maraîchère
decis,homme,Homme chef de ménage
decis,femme,Femme du chef de ménage
decis,lesdeux,Les deux ensembles
decis,autre,Par une personne tierce du ménage
deplace_diff,pproblsec,Problèmes de sécurité
deplace_diff,coutrans,Coûts de transport
deplace_diff,contrasoc,"Contraintes sociales (être une femme seule sur le trajet, conflit ethnique … )"
deplace_diff,incphy,Incapacité physique du répondant
deplace_diff,autre,Autre
enqueteur,enqueteur_1,enqueteur_1
enqueteur,enqueteur_2,enqueteur_2
enqueteur,enqueteur_3,enqueteur_3
enqueteur,enqueteur_4,enqueteur_4
enqueteur,enqueteur_5,enqueteur_5
enqueteur,enqueteur_6,enqueteur_6
enqueteur,enqueteur_7,enqueteur_7
enqueteur,enqueteur_8,enqueteur_8
enqueteur,enqueteur_9,enqueteur_9
enqueteur,enqueteur_10,enqueteur_10
enqueteur,enqueteur_11,enqueteur_11
enqueteur,enqueteur_12,enqueteur_12
enqueteur,enqueteur_13,enqueteur_13
enqueteur,enqueteur_14,enqueteur_14
enqueteur,enqueteur_15,enqueteur_15
enqueteur,enqueteur_16,enqueteur_16
enqueteur,enqueteur_17,enqueteur_17
enqueteur,enqueteur_18,enqueteur_18
enqueteur,enqueteur_19,enqueteur_19
enqueteur,enqueteur_20,enqueteur_20
enqueteur,enqueteur_21,enqueteur_21
enqueteur,enqueteur_22,enqueteur_22
enqueteur,enqueteur_23,enqueteur_23
enqueteur,enqueteur_24,enqueteur_24
enqueteur,enqueteur_25,Autre
environ,environ_1,Environnement non dangereux
environ,environ_2,Environnement dangereux
environ,environ_3,Environnement dangereux + Promiscuite des abris (moins 1.5m)
environ,environ_4,Environnement non dangereux + Promiscuite des abris (moins 1.5m)
lien,lien1,Époux/Épouse du chef de ménage
lien,lien2,Enfant du chef de ménage
lien,lien3,Frère/sœur du chef de ménage  
lien,lien4,Autre membre de la famille du chef de ménage
lien,lien5,Autre
lieu_hab,lieu_hab_1,Famille d'accueil
lieu_hab,lieu_hab_2,Centre collectif
lieu_hab,lieu_hab_3,Belle étoile
lieu_hab,lieu_hab_4,Site spontanné
lieu_hab,lieu_hab_5,Colocataire / Maison Louée
lieu_hab,lieu_hab_6,Locataire
lieu_hab,lieu_hab_7,Occupation gratuite
lieu_hab,lieu_hab_8,Propre parcelle
oui_non,oui,Oui
oui_non,non,Non
piece,pie_1,Carte d’électeur
piece,pie_2,Ancienne carte d'électeur
piece,pie_3,Attestation de perte officielle
